"Average Price","Gemiddelde prijs"
"below average.","onder de gemiddelde prijs."
"below average","onder de gemiddelde prijs"
"Disable all price rules","Alle prijsregels uitschakelen"
"Enable","Activeer"
"Error","Fout"
"from the cost price.","gebasseerd op de kostprijs."
"Highest Price","Hoogste prijs"
"Lowest Price","Laagste prijs"
"Minimum margin of","Minimale marge van"
"of lowest prices.","van laagste prijzen."
"Price","Prijs"
"Price Difference","Prijs verschil"
"Price Information","Prijs informatie"
"Pricemotion EAN","Pricemotion EAN"
"Pricemotion name","Pricemotion naam"
"PriceMotion Price Rules","PriceMotion Prijs Regels"
"PriceMotion Prices","PriceMotion Prijzen"
"Prices","Prijzen"
"Service not available","Service of product is niet beschikbaar"
"The price is always","De prijs is altijd"
"The price is always in top","De prijs is goedkoper dan nummer"
"The price is always matching number","De prijs staat altijd gelijk aan nummer"
"Vendor","Winkel"
"Cron Started","NL-Cron Started"
"Loaded %s rules","NL-Loaded %s rules"
"Product ID","NL-Product ID"
"Product name","NL-Product name"
"Rule type","NL-Rule type"
"Old price","NL-Old price"
"New price","NL-New price"
"in top","NL-in top"
"Pricemotion data could not be loaded","NL-Pricemotion data could not be loaded"
"PriceMotion Cron Report:","NL-PriceMotion Cron Report:"
"Don't change prices but still send email notification","Notificatie per email, wijzig prijs niet"
"Show PriceMotion Prices","Gebruik Pricemotion"
"Equal to lowest price","Gelijk aan laagste prijs"
"lowest price","laagste prijs"
"Update PriceMotion Price Rules","Update Pricemotion prijs regels"
"Company names to be ignored","Concurrenten/eigen naam om te negeren"
"Pricemotion URL","Pricemotion URL"
"Pricemotion Messages URL","Pricemotion Berichten URL"
"Serial","Serial sleutel"
"EAN Attribute","EAN attribuut"
"Name Attribute","Naam attribuut"
"Cost Price Attribute","Kostprijs attribuut"
"Lowest Price Attribute","Laagste prijs attribuut"
"Price Difference Attribute","Prijsverschil attribuut"
"Rounded Prices","Prijzen afronden"
"Use 'Special Price'","Update 'speciale prijs'"
"Instead of changing the actual product price set this to Yes and PriceMotion will change the 'Special Price'.","Zet op Ja om in plaats van het normale prijs veld de 'speciale prijs' bij te werken."
"Cron Reports","E-mail overzicht prijswijzigingen"
"List the company names (seperated by a comma ',') as displayed in the Pricemotion tab on the 'Edit Product' page, that you do not want to include in the execution of your price rules.","Vermeld de namen van de bedrijven gescheiden door de comma welke u wilt uitsluiten van de prijsregels. Bijvoorbeeld om eigen prijzen of prijzen van specifieke concurrenten te negeren."
"Send emails with reports after cron is finished.","Verstuur een e-mail met een overzicht van prijswijzigingen nadat deze periodiek is bijgewerkt."